"Domain","SettingName","Class","Key","ValueName","ValueType","ChildKey","ChildValue","Category","SupportedOn","AdmxFile"
"Local","AVD_SERVER_HEVC","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","HEVCHardwareEncodePreferred","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_SCREEN_CAPTURE_PROTECTION","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","AVD_SERVER_SCREEN_CAPTURE_PROTECTION","Dropdown","AVD_SERVER_SCREEN_CAPTURE_PROTECTION_LEVEL","fEnableScreenCaptureProtect","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_WATERMARKING","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEnableWatermarking","Enabled/DisabledValue","Part_WatermarkingContent","WatermarkingContent","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_CONNECTION_INTERVAL_GRAPHICS_DATA","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fEnableConnectionIntervalGraphicsData","Enabled/DisabledValue","","Enabled: 1; Disabled: 0","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_UDP_PORT_REDIRECTOR","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","fUseUdpPortRedirector","Enabled/DisabledValue","","UdpRedirectorPort","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","ICEEnableClientPortRange","Enabled/DisabledValue","","ICEClientPortBase","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
"Local","AVD_SERVER_UDP_STUN_CLIENT_PORT_RANGE","Machine","SOFTWARE\Policies\Microsoft\Windows NT\Terminal Services","ICEEnableClientPortRange","Enabled/DisabledValue","","ICEClientPortRange","AVD_GP_NODE","AVD_SUPPORTED","terminalserver-avd.admx"
